iter	Passed	Remaining
770	4388	1303
771	4394	1297
772	4399	1291
773	4404	1286
774	4409	1280
775	4414	1274
776	4419	1268
777	4424	1262
778	4429	1256
779	4434	1250
780	4439	1244
781	4444	1239
782	4449	1233
783	4455	1227
784	4460	1221
785	4466	1215
786	4471	1210
787	4477	1204
788	4482	1198
789	4487	1192
790	4492	1187
791	4497	1181
792	4502	1175
793	4508	1169
794	4513	1163
795	4518	1157
796	4523	1152
797	4528	1146
798	4533	1140
799	4538	1134
800	4543	1128
801	4548	1122
802	4554	1117
803	4558	1111
804	4563	1105
805	4569	1099
806	4574	1094
807	4578	1088
808	4584	1082
809	4589	1076
810	4594	1070
811	4599	1064
812	4604	1059
813	4609	1053
814	4614	1047
815	4619	1041
816	4624	1035
817	4630	1030
818	4635	1024
819	4640	1018
820	4645	1012
821	4650	1007
822	4655	1001
823	4661	995
824	4666	989
825	4671	984
826	4676	978
827	4681	972
828	4686	966
829	4691	960
830	4696	955
831	4701	949
832	4706	943
833	4711	937
834	4716	931
835	4721	926
836	4726	920
837	4732	914
838	4737	909
839	4742	903
840	4747	897
841	4752	891
842	4757	886
843	4762	880
844	4767	874
845	4773	868
846	4778	863
847	4783	857
848	4788	851
849	4793	845
850	4799	840
851	4804	834
852	4809	828
853	4815	823
854	4819	817
855	4824	811
856	4830	805
857	4834	800
858	4839	794
859	4845	788
860	4850	783
861	4855	777
862	4860	771
863	4866	765
864	4871	760
865	4875	754
866	4881	748
867	4886	743
868	4891	737
869	4896	731
870	4901	725
871	4907	720
872	4912	714
873	4916	708
874	4921	703
875	4926	697
876	4932	691
877	4937	686
878	4942	680
879	4947	674
880	4952	668
881	4957	663
882	4962	657
883	4967	651
884	4972	646
885	4977	640
886	4982	634
887	4987	629
888	4992	623
889	4998	617
890	5002	612
891	5007	606
892	5013	600
893	5018	595
894	5023	589
895	5029	583
896	5034	578
897	5039	572
898	5046	566
899	5052	561
900	5058	555
901	5063	550
902	5068	544
903	5073	538
904	5079	533
905	5085	527
906	5091	522
907	5096	516
908	5101	510
909	5106	505
910	5111	499
911	5117	493
912	5122	488
913	5126	482
914	5131	476
915	5136	471
916	5142	465
917	5147	459
918	5153	454
919	5158	448
920	5162	442
921	5167	437
922	5173	431
923	5178	425
924	5183	420
925	5188	414
926	5194	409
927	5199	403
928	5204	397
929	5210	392
930	5215	386
931	5219	380
932	5225	375
933	5230	369
934	5235	363
935	5240	358
936	5246	352
937	5251	347
938	5256	341
939	5261	335
940	5266	330
941	5272	324
942	5277	318
943	5281	313
944	5287	307
945	5292	302
946	5297	296
947	5302	290
948	5307	285
949	5312	279
950	5317	274
951	5322	268
952	5327	262
953	5332	257
954	5338	251
955	5343	245
956	5348	240
957	5353	234
958	5358	229
959	5364	223
960	5369	217
961	5374	212
962	5379	206
963	5384	201
964	5389	195
965	5394	189
966	5404	184
967	5411	178
968	5417	173
969	5423	167
970	5428	162
971	5433	156
972	5439	150
973	5444	145
974	5449	139
975	5454	134
976	5459	128
977	5464	122
978	5469	117
979	5474	111
980	5480	106
981	5485	100
982	5490	94
983	5495	89
984	5500	83
985	5505	78
986	5510	72
987	5515	66
988	5520	61
